class,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
HUBERREGRESSOR,15,13816,922,921,0.249443826,4.943477609,3.691639522,6.51465798,0.758876503,4.943477609,3.691639522,6.51465798,0.758876503,3,3,0,0.166666667,0.083464922,0.023671687,0.15738274,0.012235464,1.233246791,0.753640513,1.346122834,0.056012207,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.271996528,0,0,0
HUBERREGRESSOR,10,14011,1402,1401,0.3,4.967498251,3.783012134,5.995717345,0.710135194,4.967498251,3.783012134,5.995717345,0.710135194,9,9,0,0.5,0.956447096,3.85E-05,3.753825024,0.504758725,6.313830681,0.179623546,20.66733447,1.999035818,0,0,0,0,7.9,7,8,0.3,8.1,8,9,0.3,9,9,9,0,3,3,3,0,1,1,1,0,4,4,4,0,0.200983325,1401,48,0
HUBERREGRESSOR,5,10366,2074,2073,0.4,4.948832419,4.534491076,5.351976856,0.318746707,4.948832419,4.534491076,5.351976856,0.318746707,5,5,0,0.166666667,0.241064612,0.020606077,0.575033094,0.095813514,0.85991685,0.437931758,1.211741052,0.084503677,0,0,0,0,5,5,5,0,5,5,5,0,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.245001159,0,0,0
HUBERREGRESSOR,15,31096,2074,2073,0.249443826,5.05854225,4.293294742,5.643994211,0.39633701,5.05854225,4.293294742,5.643994211,0.39633701,3,3,0,0.166666667,0.05478893,0.002330102,0.158935727,0.018007373,1.195537961,0.783033085,1.326062162,0.078229462,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.313524406,0,0,0
HUBERREGRESSOR,5,8061,1613,1612,0.4,5.024252391,4.525728456,6.017369727,0.515094397,5.024252391,4.525728456,6.017369727,0.515094397,3,3,0,0.5,0.810054076,0.063406811,1.520468771,0.007650785,3.170536461,1.626324458,5.958487587,0.021508752,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,3,3,3,0,1,1,1,0,0,0,0,0,0.319079299,0,0,0
HUBERREGRESSOR,20,27641,1383,1382,0.217944947,4.967242294,3.690303907,6.222865412,0.593136474,4.967242294,3.690303907,6.222865412,0.593136474,2,1,1,0.166666667,0.196956801,0.000242666,0.72333464,0,1.229422063,1.082423078,1.393422334,0,1,1,1,0,0.65,0,1,0.476969601,1.1,1,2,0.3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062535274,0,0,0.647446639
HUBERREGRESSOR,15,20731,1383,1382,0.249443826,5.006998705,3.835021708,5.933429812,0.571137516,5.006998705,3.835021708,5.933429812,0.571137516,2,1,1,0.166666667,0.148818502,2.22E-05,0.364536402,0,1.167087515,0.845867844,1.264028245,0,1,1,1,0,0.533333333,0,1,0.498887652,1.066666667,1,2,0.249443826,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032332755,0,0,0.673011667
XGBRegressor,10,17280,1728,1728,0,4.884259259,4.282407407,5.671296296,0.418271088,4.884259259,4.282407407,5.671296296,0.418271088,5,5,0,0.166666667,1.107722702,1.09E-08,4.731919572,0.985828119,6.098434777,0.491009529,27.16419224,5.578834246,0,0,0,0,4.4,4,5,0.489897949,4.4,4,5,0.489897949,5,5,5,0,3,3,3,0,1,1,1,0,0,0,0,0,0.223538751,0,0,0
XGBRegressor,10,38011,3802,3801,0.3,5.032749764,4.551433833,5.498553012,0.266683118,5.032749764,4.551433833,5.498553012,0.266683118,4,4,0,0.166666667,1.496662898,0.006236141,4.498316509,0.819339505,7.235583567,1.208843415,23.26171722,4.166474169,0,0,0,0,4,4,4,0,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.1434905,0,0,0
XGBRegressor,15,34560,2304,2304,0,5.101273148,4.427083333,5.859375,0.401521962,5.101273148,4.427083333,5.859375,0.401521962,5,4,1,0.166666667,1.358929928,0.004718296,4.451126109,0.002479286,6.375137205,0.046100779,23.47289966,0.021721245,1,1,1,0,1.066666667,0,4,1.768866555,5,5,5,0,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.048371841,0,0,0.579915171
XGBRegressor,10,34560,3456,3456,0,5.130208333,4.6875,5.671296296,0.29224537,5.130208333,4.6875,5.671296296,0.29224537,6,5,1,0.166666667,1.410732944,0.003265654,5.160962334,0.763562926,5.534177339,0.238425029,31.94453347,5.106112579,1,1,1,0,3,1,6,2.097617696,5.5,5,6,0.5,6,6,6,0,4,4,4,0,2,2,2,0,0,0,0,0,0.048306464,0,0,0.673011667
LASSO,5,31101,6221,6220,0.4,5.051294986,4.725928307,5.353697749,0.238756651,5.051294986,4.725928307,5.353697749,0.238756651,5,5,0,0.166666667,1.032313987,0.006015012,2.554601437,0.42450363,5.440200732,1.13001646,12.30816667,2.148089876,0,0,0,0,4,4,4,0,4.2,4,5,0.4,5,5,5,0,3,3,3,0,1,1,1,0,0,0,0,0,0.110245254,0,0,0
XGBRegressor,20,38001,1901,1900,0.217944947,5.026162131,3.842105263,5.839032088,0.416952594,5.026162131,3.842105263,5.839032088,0.416952594,5,5,0,0.166666667,1.679429572,0.000177225,4.638371895,0.785649575,8.460451751,0.687667083,25.70802554,4.093458663,0,0,0,0,5,5,5,0,5,5,5,0,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.132529107,0,0,0
XGBRegressor,10,9211,922,921,0.3,5.026685132,4.229934924,6.188925081,0.564936823,5.026685132,4.229934924,6.188925081,0.564936823,5,5,0,0.5,1.883759705,2.35E-05,4.795264541,0.906017432,8.835245747,0.017943956,28.38009316,5.918817957,0,0,0,0,4.1,4,5,0.3,4.1,4,5,0.3,5,5,5,0,3,3,3,0,1,1,1,0,0,0,0,0,0.175006606,0,0,0
HUBERREGRESSOR,5,4606,922,921,0.4,4.92836467,4.451682953,5.42888165,0.392207153,4.92836467,4.451682953,5.42888165,0.392207153,2,2,0,1,0.066971532,0.007248426,0.128233034,0.010661086,1.230438663,1.162577371,1.302161712,0.02018453,0,0,0,0,1.6,1,2,0.489897949,2,2,2,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.278297049,0,0,0.673011667
HUBERREGRESSOR,5,4606,922,921,0.4,5.210760726,4.446854664,5.971769815,0.5243842,5.210760726,4.446854664,5.971769815,0.5243842,4,4,0,0.5,0.245458518,0.016529876,0.60987595,0.087672704,0.77333578,0.350363697,1.353904722,0.128470596,0,0,0,0,0.2,0,1,0.4,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.127732533,0,0,0
HUBERREGRESSOR,10,20731,2074,2073,0.3,4.944306208,4.532304725,5.788712012,0.385090879,4.944306208,4.532304725,5.788712012,0.385090879,5,5,0,0.166666667,0.491366238,0.038952959,1.017745098,0.000844989,1.53270699,0.19166342,3.262997044,0.003371924,0,0,0,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,3,3,3,0,0,0,0,0,0.166142972,0,0,0
LinearSVR,15,17280,1152,1152,0,4.976851852,3.559027778,6.076388889,0.675126763,4.976851852,3.559027778,6.076388889,0.675126763,6,6,0,0.166666667,1.425767022,1.20E-06,5.1645726,0.462567894,8.149961943,0.797657995,32.82024223,3.26893055,0,0,0,0,4.933333333,4,5,0.249443826,5.133333333,5,6,0.339934634,5.8,4,6,0.54160256,2,2,2,0,0,0,0,0,2,2,2,0,0.012636154,3,3,0.244930027
XGBRegressor,20,17280,864,864,0,4.936342593,3.819444444,5.902777778,0.606148967,4.936342593,3.819444444,5.902777778,0.606148967,3,3,0,0.166666667,1.089693728,0.001499403,4.837664021,1.190669588,6.573126876,0.951341702,28.67299187,6.264319794,0,0,0,0,2.9,1,3,0.435889894,2.85,1,3,0.476969601,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.208176437,0,0,0.198515243
XGBRegressor,20,17280,864,864,0,5.028935185,4.050925926,6.134259259,0.54591731,5.028935185,4.050925926,6.134259259,0.54591731,6,6,0,0.166666667,2.190956307,0,5.022908876,0.493421356,11.92826621,0.102539526,30.54951028,3.577641232,0,0,0,0,4.95,3,6,0.497493719,5.15,5,6,0.357071421,5.95,5,6,0.217944947,3,3,3,0,1,1,1,0,1,1,1,0,0.014096898,2,2,0.198515243
HUBERREGRESSOR,15,17280,1152,1152,0,5.109953704,4.253472222,6.336805556,0.588630144,5.109953704,4.253472222,6.336805556,0.588630144,8,8,0,0.166666667,3.38554564,3.33E-06,5.178244288,0.449253624,23.77664039,0.217991822,37.4420035,2.986349276,0,0,0,0,6.6,1,7,1.496662955,7.133333333,7,8,0.339934634,8,8,8,0,7,7,7,0,5,5,5,0,0,0,0,0,0.011547499,0,0,0.244930027
XGBRegressor,5,12671,2535,2534,0.4,5.074584857,4.775059195,5.288082084,0.184561985,5.074584857,4.775059195,5.288082084,0.184561985,3,3,0,0.5,0.10445712,0.018934585,0.205013453,0.000524929,0.322636311,0.044268321,0.543610998,0.000923286,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,3,3,3,0,1,1,1,0,0,0,0,0,0.486551588,0,0,0
XGBRegressor,10,10361,1037,1036,0.3,4.980183035,3.667953668,6.274131274,0.723643361,4.980183035,3.667953668,6.274131274,0.723643361,3,3,0,0.5,0.981141551,0.000556429,4.759708672,1.184644935,6.11586988,0.668521869,27.51846419,6.385845223,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.426104288,0,0,0
HUBERREGRESSOR,5,10366,2074,2073,0.4,4.997011212,4.341534009,5.978784957,0.562049985,4.997011212,4.341534009,5.978784957,0.562049985,1,1,0,0.5,0.374320302,0.0040299,1.823953588,0,1.71721474,1.195557077,3.264459815,0,0,0,0,0,0.2,0,1,0.4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017793195,0,0,0.500402424
XGBRegressor,5,6911,1383,1382,0.4,5.078851843,3.907380608,7.091172214,1.139839862,5.078851843,3.907380608,7.091172214,1.139839862,4,3,1,0.5,1.889291941,0.028467554,4.659324756,0.000759862,10.31366991,1.344033173,26.43199651,0.005736502,1,1,1,0,2.2,1,4,1.469693846,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.12750541,0,0,0.673011667
LinearSVR,10,38011,3802,3801,0.3,4.951194355,4.498816101,5.761641673,0.353657165,4.951194355,4.498816101,5.761641673,0.353657165,9,8,1,0.166666667,1.357070587,6.64E-06,3.496752798,0.459804727,7.981290325,0.526592981,17.94010339,1.82467982,1,1,1,0,7.7,4,9,1.268857754,8.1,8,9,0.3,9,9,9,0,4,4,4,0,2,2,2,0,3,3,3,0,0.024124371,3802,950,0.325082973
LinearSVR,10,10361,1037,1036,0.3,4.893384913,4.054054054,5.405405405,0.389029956,4.893384913,4.054054054,5.405405405,0.389029956,7,7,0,0.5,1.474391107,0,3.175322944,0.399571288,7.804725041,1.14170234,17.68802133,1.969613489,0,0,0,0,2.5,0,5,2.5,6.3,6,7,0.458257569,7,7,7,0,5,5,5,0,3,3,3,0,0,0,0,0,0.060458753,0,0,0.693147181
XGBRegressor,5,8061,1613,1612,0.4,4.962194576,4.59057072,5.583126551,0.394668419,4.962194576,4.59057072,5.583126551,0.394668419,5,5,0,0.5,1.674619798,0.000229493,4.459491705,0.846426888,7.088514621,0.041053142,23.43007913,5.197444932,0,0,0,0,4.2,4,5,0.4,4.2,4,5,0.4,5,5,5,0,3,3,3,0,1,1,1,0,0,0,0,0,0.178774533,0,0,0
XGBRegressor,5,5760,1152,1152,0,4.965277778,4.6875,5.121527778,0.149345925,4.965277778,4.6875,5.121527778,0.149345925,2,2,0,1,0.034871454,0.003705271,0.179617764,0.043385723,0.811336535,0.173541538,1.209925935,0.096911042,0,0,0,0,1,1,1,0,2,2,2,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.587473115,0,0,0
LinearSVR,15,38011,2535,2534,0.249443826,4.922249776,3.670086819,5.564325178,0.568596281,4.922249776,3.670086819,5.564325178,0.568596281,1,1,0,0.166666667,0.238653529,5.28E-05,1.127147867,0,1.11620161,0.301287174,1.44699662,0,0,0,0,0,0.133333333,0,1,0.339934634,0.066666667,0,1,0.249443826,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011263707,0,0,0.392674467
XGBRegressor,20,34560,1728,1728,0,5.086805556,4.166666667,6.30787037,0.454531145,5.086805556,4.166666667,6.30787037,0.454531145,6,5,1,0.166666667,1.209748861,8.60E-05,4.552009065,0.774752009,5.275322493,0.023682034,25.44833099,4.264097898,1,1,1,0,1.75,1,4,1.299038106,5.05,5,6,0.217944947,6,6,6,0,4,4,4,0,2,2,2,0,0,0,0,0,0.046657401,0,0,0.562335145
HUBERREGRESSOR,5,6911,1383,1382,0.4,4.876320171,3.762662808,5.788712012,0.669088153,4.876320171,3.762662808,5.788712012,0.669088153,4,3,1,0.166666667,0.816493007,0.051440432,3.230422661,0.405251838,3.238211969,0.759350176,14.9329425,3.147146867,1,1,1,0,1.4,1,3,0.8,3,3,3,0,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0.055945935,0,0,0.500402424
XGBRegressor,10,8061,807,806,0.3,5.024152807,3.349875931,6.451612903,0.998921997,5.024152807,3.349875931,6.451612903,0.998921997,4,4,0,0.5,1.469620688,0.03729082,4.94522465,0.997129088,8.112299268,0.735213911,33.28451145,5.808174718,0,0,0,0,1.2,0,3,1.469693846,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.117365079,0,0,0.673011667
HUBERREGRESSOR,20,24181,1210,1209,0.217944947,5.049415882,3.804797353,6.368899917,0.606928238,5.049415882,3.804797353,6.368899917,0.606928238,6,6,0,0.166666667,1.072135927,0.036462276,2.421463266,0.302465591,5.443568518,1.196229592,11.32313789,1.059050351,0,0,0,0,6,6,6,0,6,6,6,0,6,6,6,0,5,5,5,0,3,3,3,0,0,0,0,0,0.139744902,0,0,0
XGBRegressor,5,8061,1613,1612,0.4,4.986977704,3.908188586,6.327543424,0.858342769,4.986977704,3.908188586,6.327543424,0.858342769,5,4,1,0.5,1.445221547,0.05917994,4.317801451,0.00271658,5.327607003,0.406427159,21.74475195,0.010220846,1,1,1,0,1.8,1,5,1.6,5,5,5,0,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.122496924,0,0,0.500402424
HUBERREGRESSOR,10,8061,807,806,0.3,5.07393434,4.089219331,6.327543424,0.644143597,5.07393434,4.089219331,6.327543424,0.644143597,3,3,0,0.5,0.102311398,0.004892751,0.183938971,0.020632073,1.169674926,1.057648638,1.353706561,0.039517685,0,0,0,0,0,0,0,0,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.168883068,0,0,0
XGBRegressor,20,38001,1901,1900,0.217944947,5.018307539,4.3135192,5.684210526,0.341031407,5.018307539,4.3135192,5.684210526,0.341031407,7,7,0,0.166666667,1.898770152,7.64E-06,4.967161495,0.709864246,9.139440765,0.014072495,32.30930715,4.777652799,0,0,0,0,6.45,6,7,0.497493719,5.85,5,7,0.476969601,7,7,7,0,4,4,4,0,2,2,2,0,2,2,2,0,0.051012634,8,8,0
XGBRegressor,5,17280,3456,3456,0,5.092592593,4.571759259,5.989583333,0.519223335,5.092592593,4.571759259,5.989583333,0.519223335,5,5,0,0.166666667,2.483929494,0.000983365,4.669866487,0.74925776,9.99632509,0.051539581,26.35475871,4.367633846,0,0,0,0,4.2,4,5,0.4,4.4,4,5,0.489897949,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.067185188,0,0,0
XGBRegressor,5,6911,1383,1382,0.4,5.078914627,4.558610709,6.150506512,0.569102229,5.078914627,4.558610709,6.150506512,0.569102229,2,2,0,0.5,0.021598477,0.004349725,0.114440253,0.027219341,1.191542473,0.778377425,1.316353432,0.084475444,0,0,0,0,2,2,2,0,2,2,2,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.594849367,0,0,0
XGBRegressor,15,27646,1844,1843,0.249443826,5.045922329,4.395008139,5.914270212,0.440610601,5.045922329,4.395008139,5.914270212,0.440610601,5,5,0,0.166666667,0.063930899,1.23E-06,2.153700091,0.239868648,1.467217068,0.790874189,3.460599835,0.193270353,0,0,0,0,3.6,3,5,0.611010093,4,3,5,0.365148372,5,5,5,0,0,0,0,0,0,0,0,0,4,4,4,0,0.015105077,20,3,0.392674467
LASSO,10,11520,1152,1152,0,4.947916667,3.732638889,5.902777778,0.722105359,4.947916667,3.732638889,5.902777778,0.722105359,8,8,0,0.5,0.660178517,2.57E-06,3.285114632,0.353415338,4.372833203,0.399220242,16.81936121,1.391028519,0,0,0,0,6.6,5,8,0.8,7.1,7,8,0.3,8,8,8,0,2,2,2,0,0,0,0,0,4,4,4,0,0.241652137,1151,47,0
XGBRegressor,20,34560,1728,1728,0,5.043402778,4.166666667,5.671296296,0.452824092,5.043402778,4.166666667,5.671296296,0.452824092,6,5,1,0.166666667,1.975547379,0.009779236,4.768719226,0.751350209,9.262883001,0.203114768,26.73989338,4.30655318,1,1,1,0,2.3,0,5,1.734935157,5,5,5,0,6,6,6,0,4,4,4,0,2,2,2,0,0,0,0,0,0.037993838,0,0,0.673011667
HUBERREGRESSOR,20,42041,2103,2102,0.217944947,5.133085443,4.329210276,6.279733587,0.529106185,5.133085443,4.329210276,6.279733587,0.529106185,10,9,1,0.166666667,1.340127921,1.05E-11,3.877052866,0.553953655,8.624818882,0.739780961,22.48316814,1.728384289,1,1,1,0,7.35,4,9,1.58981131,9.15,9,10,0.357071421,10,10,10,0,4,4,4,0,2,2,2,0,4,4,4,0,0.025062857,1051,1050,0.500402424
XGBRegressor,5,10366,2074,2073,0.4,5.055019279,4.725168756,5.354558611,0.225690088,5.055019279,4.725168756,5.354558611,0.225690088,5,5,0,0.5,1.694783272,4.23E-05,4.383077645,0.764777402,7.287042996,0.1620888,22.25338068,4.589306011,0,0,0,0,4,4,4,0,4,4,4,0,5,5,5,0,3,3,3,0,1,1,1,0,0,0,0,0,0.19208071,0,0,0
LinearSVR,15,27646,1844,1843,0.249443826,5.031429626,4.340748779,6.127982646,0.498567044,5.031429626,4.340748779,6.127982646,0.498567044,1,1,0,0.166666667,0.416226353,1.66E-05,2.105675689,0,1.254033674,0.640824887,3.564736759,0,0,0,0,0,0.133333333,0,1,0.339934634,0.133333333,0,1,0.339934634,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015296769,0,0,0.392674467
XGBRegressor,10,17280,1728,1728,0,4.947916667,4.282407407,5.787037037,0.476684673,4.947916667,4.282407407,5.787037037,0.476684673,6,6,0,0.166666667,1.966800353,0.112636421,4.473624356,0.573634867,7.025107715,0.124094588,23.04725689,3.697090862,0,0,0,0,5.8,5,6,0.4,5,5,5,0,6,6,6,0,5,5,5,0,3,3,3,0,0,0,0,0,0.093645963,0,0,0
LinearSVR,5,14016,2804,2803,0.4,5.015687797,4.816268284,5.208704959,0.139869175,5.015687797,4.816268284,5.208704959,0.139869175,2,2,0,0.5,0.427178971,0.005000937,1.729058823,0.491786353,1.342369624,0.257794104,2.932076105,0.345560826,0,0,0,0,2,2,2,0,2,2,2,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.431493305,0,0,0
LASSO,10,10361,1037,1036,0.3,5.134595265,4.536679537,6.274131274,0.508079614,5.134595265,4.536679537,6.274131274,0.508079614,4,4,0,0.166666667,0.938291731,0.857293272,1.00905957,0.001309194,0.226917685,0.023617876,0.405449527,0.00459586,0,0,0,0,3.6,0,4,1.2,4,4,4,0,4,4,4,0,4,4,4,0,2,2,2,0,0,0,0,0,0.211312751,0,0,0.325082973
LinearSVR,15,17280,1152,1152,0,5.05787037,4.427083333,5.902777778,0.370279937,5.05787037,4.427083333,5.902777778,0.370279937,11,11,0,0.166666667,1.417010129,4.01E-06,4.980269676,0.656084774,9.625142581,0.321008796,34.21204055,3.759563284,0,0,0,0,9.933333333,7,11,0.853749898,9.933333333,9,11,0.573488351,10.86666667,10,11,0.339934634,4,4,4,0,2,2,2,0,6,6,6,0,0.016249344,14,2,0.244930027
XGBRegressor,5,10366,2074,2073,0.4,5.016418562,4.821600771,5.402797877,0.230730574,5.016418562,4.821600771,5.402797877,0.230730574,3,3,0,0.5,1.436431189,0,4.267400707,0.936966359,6.980142054,0.5523189,20.75934332,4.817326777,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.279847751,0,0,0
XGBRegressor,15,34560,2304,2304,0,4.968171296,4.296875,6.076388889,0.461749712,4.968171296,4.296875,6.076388889,0.461749712,3,2,1,0.166666667,0.302455765,0.000670362,1.983682273,0.420594373,1.120941698,0.091906393,2.494817571,0.304124826,1,1,1,0,1.266666667,1,2,0.442216639,2,2,2,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017137025,0,0,0.500402424
XGBRegressor,5,17280,3456,3456,0,4.982638889,4.571759259,5.41087963,0.278379941,4.982638889,4.571759259,5.41087963,0.278379941,5,5,0,0.166666667,3.391194622,8.23E-06,4.573175875,0.67453903,16.1467695,0.116298254,24.79825417,3.435646836,0,0,0,0,4.4,4,5,0.489897949,4,4,4,0,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.014915969,0,0,0
XGBRegressor,20,42041,2103,2102,0.217944947,4.971330205,3.948620362,5.708848716,0.430840097,4.971330205,3.948620362,5.708848716,0.430840097,4,4,0,0.166666667,0.176356017,7.31E-06,2.984844859,0.432086356,1.501647579,0.079142117,8.095511414,0.75846419,0,0,0,0,3.15,3,4,0.357071421,3.25,3,4,0.433012702,4,4,4,0,0,0,0,0,0,0,0,0,2,2,2,0,0.015384329,2,2,0
XGBRegressor,10,34560,3456,3456,0,4.965277778,4.369212963,5.729166667,0.366735637,4.965277778,4.369212963,5.729166667,0.366735637,3,3,0,0.166666667,0.355262346,6.46E-06,2.91838556,0.522609205,1.613166714,0.033726295,7.533535227,0.959327775,0,0,0,0,2.5,2,3,0.5,2.1,2,3,0.3,3,3,3,0,0,0,0,0,0,0,0,0,2,2,2,0,0.016584722,1727,1727,0.500402424
XGBRegressor,5,20736,4148,4147,0.4,5.01541238,4.653966723,5.424300868,0.25614234,5.01541238,4.653966723,5.424300868,0.25614234,1,1,0,0.166666667,0.582446858,0.1187609,1.193298273,0,0.899774536,0.425260238,1.230026712,0,0,0,0,0,0.2,0,1,0.4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012022189,0,0,0.500402424
XGBRegressor,10,13821,1383,1382,0.3,5.050342541,3.907380608,5.861070912,0.588969051,5.050342541,3.907380608,5.861070912,0.588969051,5,5,0,0.166666667,1.987008753,0.60443349,4.743610765,0.005889067,6.843886167,0.069360553,26.44504547,0.103626352,0,0,0,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,3,3,3,0,0,0,0,0,0.106749057,0,0,0
ELASTICNETCV,10,10361,1037,1036,0.3,5.028464199,4.343629344,5.694980695,0.511501373,5.028464199,4.343629344,5.694980695,0.511501373,5,5,0,0.166666667,0.027169009,0.000224279,0.076572222,0.000991917,0.661193051,0.570267573,0.740012429,0.001762867,0,0,0,0,4.7,2,5,0.9,5,5,5,0,5,5,5,0,5,5,5,0,3,3,3,0,0,0,0,0,0.275946089,0,0,0.325082973
XGBRegressor,5,5760,1152,1152,0,4.895833333,3.90625,5.729166667,0.648664642,4.895833333,3.90625,5.729166667,0.648664642,5,5,0,0.5,3.346474519,0.000715557,4.528810418,0.767958578,16.11884805,1.187021061,25.15555024,3.85744034,0,0,0,0,4.4,4,5,0.489897949,4.2,4,5,0.4,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.013433198,0,0,0
HUBERREGRESSOR,10,10361,1037,1036,0.3,4.960868707,3.571428571,5.694980695,0.654598026,4.960868707,3.571428571,5.694980695,0.654598026,4,4,0,0.5,3.171732011,3.76E-07,5.319194232,0.658362425,18.80444898,0.84273092,38.710831,4.797584152,0,0,0,0,2.7,0,3,0.9,3,3,3,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.015604394,0,0,0.325082973
XGBRegressor,5,6336,1268,1267,0.4,5.145254818,4.735595896,6.077348066,0.485518498,5.145254818,4.735595896,6.077348066,0.485518498,2,2,0,1,1.061683844,0.008452534,4.248117161,0.795905452,3.842289597,0.166078589,20.03852947,4.723072184,0,0,0,0,1.6,1,2,0.489897949,2,2,2,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.317049903,0,0,0.673011667
XGBRegressor,5,34560,6912,6912,0,4.988425926,4.557291667,5.80150463,0.431163388,4.988425926,4.557291667,5.80150463,0.431163388,5,5,0,0.166666667,1.036581477,0.000228329,4.404308179,0.701090617,3.983796897,0.047118716,22.35142389,3.61461399,0,0,0,0,5,5,5,0,5,5,5,0,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.194230797,0,0,0
LinearSVR,5,10366,2074,2073,0.4,5.180394855,4.245055475,5.836951278,0.525404981,5.180394855,4.245055475,5.836951278,0.525404981,1,1,0,0.5,0.336971435,2.07E-06,1.394169984,0,1.409763941,1.200000155,1.751039007,0,0,0,0,0,0.6,0,1,0.489897949,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019595701,0,0,0.673011667
LinearSVR,20,34560,1728,1728,0,4.971064815,3.819444444,5.787037037,0.441448901,4.971064815,3.819444444,5.787037037,0.441448901,9,8,1,0.166666667,1.63148469,3.98E-06,3.662585696,0.495295737,9.87470024,0.169998218,20.4213926,1.606353033,1,1,1,0,5.9,2,8,2.406241883,8,8,8,0,9,9,9,0,5,5,5,0,3,3,3,0,2,2,2,0,0.023329542,863,863,0.647446639
