class,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
LASSO,20,17280,864,864,0,4.976851852,3.819444444,6.365740741,0.652679268,4.976851852,3.819444444,6.365740741,0.652679268,6,6,0,0.166666667,2.632756394,6.05E-07,5.726238812,0.771619912,20.1059689,0.774907155,45.82370565,5.063417669,0,0,0,0,4.85,2,5,0.653834842,5.1,5,6,0.3,6,6,6,0,4,4,4,0,2,2,2,0,0,0,0,0,0.012220381,0,0,0.198515243
QUANTILEREGRESSOR,15,18324,1222,1221,0.489897949,0.012729587,0,0.190943808,0.047629754,0.010911075,0,0.163666121,0.040825503,2,2,0,0.016666667,1.114828361,0.038277842,2.30684873,0.030078174,2.138864588,0.069041534,6.97471284,0.172689511,0,0,0,0,1.466666667,0,2,0.805536398,2,2,2,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.468996449,0,0,0.636514168
QUANTILEREGRESSOR,5,18329,3666,3665,0.4,0.025462648,0,0.063665302,0.031185248,0.021825127,0,0.054570259,0.026730212,1,1,0,0.016666667,0.812465914,0.565911603,1.246626118,0,0.40133195,0.033945052,1.045729652,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426539726,0,0,0
XGBRegressor,5,6911,1383,1382,0.4,5.180143839,4.703328509,6.150506512,0.512840885,5.180143839,4.703328509,6.150506512,0.512840885,2,2,0,0.166666667,0.063113353,0.050851307,0.074826635,0.003257554,1.292563537,1.178656572,1.418350606,0.006306146,0,0,0,0,2,2,2,0,2,2,2,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.34777321,0,0,0
XGBRegressor,20,31101,1556,1555,0.217944947,5.028748791,3.922829582,5.912596401,0.52275709,5.028748791,3.922829582,5.912596401,0.52275709,5,5,0,0.166666667,1.970264039,0.015629142,4.673305065,0.856960662,10.37296291,1.18181973,25.48324083,4.237735609,0,0,0,0,4.8,1,5,0.871779789,5,5,5,0,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.129818721,0,0,0.198515243
HUBERREGRESSOR,5,10366,2074,2073,0.4,4.948902196,4.628736741,5.20984081,0.215530439,4.948902196,4.628736741,5.20984081,0.215530439,11,11,0,0.166666667,1.064904611,3.54E-06,3.688297803,0.606235219,7.544021767,1.199998221,21.82160256,1.297851724,0,0,0,0,9.4,7,10,1.2,10.4,10,11,0.489897949,11,11,11,0,4,4,4,0,2,2,2,0,6,6,6,0,0.013484265,2074,691,0.500402424
QUANTILEREGRESSOR,5,4031,807,806,0.4,5.011146267,4.094292804,6.327543424,0.850832807,5.011146267,4.094292804,6.327543424,0.850832807,3,3,0,1,0.539274628,0.008811589,1.572416172,0.232469024,2.476927945,1.203642047,6.170969023,0.927251565,0,0,0,0,1,1,1,0,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.459426225,0,0,0
LinearSVR,10,9211,922,921,0.3,4.961538552,3.583061889,6.297502714,0.820223656,4.961538552,3.583061889,6.297502714,0.820223656,4,4,0,0.5,0.780228961,0.010010246,2.11325133,0.306671231,4.157979364,1.210809625,9.940825043,1.157341887,0,0,0,0,4,4,4,0,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.284640119,0,0,0
LinearSVR,5,14016,2804,2803,0.4,4.887241253,4.209775241,5.313837375,0.426542171,4.887241253,4.209775241,5.313837375,0.426542171,1,1,0,0.5,0.864770565,0.064350148,2.370954788,0,1.865196555,1.082376248,4.410072494,0,0,0,0,0,0.2,0,1,0.4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022423661,0,0,0.673011667
XGBRegressor,15,17280,1152,1152,0,4.971064815,4.340277778,5.815972222,0.453239913,4.971064815,4.340277778,5.815972222,0.453239913,4,4,0,0.166666667,3.241887248,1.89E-06,5.012317715,0.560136696,17.17419505,0.665860649,30.3177531,3.478360034,0,0,0,0,2.933333333,1,4,0.573488351,3.066666667,3,4,0.249443826,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.015727944,0,0,0.244930027
